Relative Category Share per Year (%),,,,,,,,,,,
Year,Technical Blocking,Price Discrimination,Content Licensing,Regulatory Compliance,Legal Threat,Account Action,Privacy/Security,Security Risk,Legitimate Portability,User Workaround,General Terms
2016,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0
2017,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2018,19.05%,4.76%,28.57%,33.33%,14.29%,0.00%,0.00%,0.00%,0.00%,0.00%,642.86%
2019,1.33%,4.00%,57.33%,24.00%,12.00%,0.00%,0.00%,0.00%,0.00%,1.33%,925.33%
2020,1.30%,10.39%,41.56%,32.47%,7.79%,0.00%,0.00%,6.49%,0.00%,0.00%,2098.05%
2021,0.60%,14.88%,37.50%,39.29%,4.17%,0.00%,1.19%,2.38%,0.00%,0.00%,2051.19%
2022,5.99%,9.22%,39.17%,33.18%,5.99%,0.00%,1.84%,4.61%,0.00%,0.00%,1818.43%
2023,14.15%,3.86%,32.80%,36.33%,8.04%,0.00%,3.54%,0.64%,0.64%,0.00%,1443.73%
2024,8.08%,11.11%,32.32%,36.70%,7.74%,0.00%,0.67%,3.37%,0.00%,0.00%,1608.42%
2025,5.75%,5.36%,37.93%,33.72%,10.73%,0.00%,3.07%,3.45%,0.00%,0.00%,1282.38%