Category,Gemini Count,Gemini %,BERT Count,BERT %,Delta (Gemini-BERT)
Technical Blocking,104,0.41%,23,0.09%,0.32%
Price Discrimination,124,0.48%,8,0.03%,0.45%
Content Licensing,558,2.18%,"1,474",5.76%,-3.58%
Regulatory Compliance,523,2.05%,104,0.41%,1.64%
Legal Threat,120,0.47%,0,0.00%,0.47%
Account Action,0,0.00%,"6,627",25.89%,-25.89%
Privacy/Security,27,0.11%,0,0.00%,0.11%
Security Risk,45,0.18%,0,0.00%,0.18%
Legitimate Portability,2,0.01%,"8,187",31.99%,-31.98%
User Workaround,1,0.00%,"2,486",9.71%,-9.71%
General Terms,24066,94.12%,"6,684",26.12%,68.00%